"period_end_date","month","year","fiscal_year","plant_material_tax","edible_products_tax","other_cannabis_tax","total_tax"
"2023-01-01T00:00:00.000","January","2023","FY2022-23",298413.31,57174.23,121660.66,477248.20
"2023-02-01T00:00:00.000","February","2023","FY2022-23",422458.34,65060.45,223616.48,711135.27
"2023-03-01T00:00:00.000","March","2023","FY2022-23",620486.96,102934.91,301211.18,1024633.05
"2023-04-01T00:00:00.000","April","2023","FY2022-23",693535.94,115247.83,307223.78,1116007.55
"2023-05-01T00:00:00.000","May","2023","FY2022-23",831737.31,126555.03,366369.43,1324661.77
"2023-06-01T00:00:00.000","June","2023","FY2022-23",850328.48,148368.23,391145.78,1389842.49
"2023-07-01T00:00:00.000","July","2023","FY2023-24",887388.61,141291.46,420787.81,1449467.88
"2023-08-01T00:00:00.000","August","2023","FY2023-24",986071.63,157463.41,431810.57,1575345.61
"2023-09-01T00:00:00.000","September","2023","FY2023-24",998901.67,162311.45,440512.92,1601726.04
"2023-10-01T00:00:00.000","October","2023","FY2023-24",965699.43,165078.92,468137.82,1598916.17
"2023-11-01T00:00:00.000","November","2023","FY2023-24",897558.96,180636.46,481273.82,1559469.24
"2023-12-01T00:00:00.000","December","2023","FY2023-24",782822.84,236737.87,578166.27,1597726.98
"2024-01-01T00:00:00.000","January","2024","FY2023-24",753272.53,207586.77,553709.19,1514568.49
"2024-02-01T00:00:00.000","February","2024","FY2023-24",721777.15,200999.36,520367.32,1443143.83
"2024-03-01T00:00:00.000","March","2024","FY2023-24",769807.03,213369.86,552339.06,1535515.95
"2024-04-01T00:00:00.000","April","2024","FY2023-24",790689.86,220813.47,556010.25,1567513.58
"2024-05-01T00:00:00.000","May","2024","FY2023-24",838315.45,216113.34,564995.78,1619424.57
"2024-06-01T00:00:00.000","June","2024","FY2023-24",804500.84,218902.27,564301.10,1587704.21
"2024-07-01T00:00:00.000","July","2024","FY2024-25",871852.26,233809.51,602064.46,1707726.23
"2024-08-01T00:00:00.000","August","2024","FY2024-25",945554.14,246282.34,653609.15,1845445.63
"2024-09-01T00:00:00.000","September","2024","FY2024-25",878087,231852,602187,1712126
"2024-10-01T00:00:00.000","October","2024","FY2024-25",880481,246260,644723,1771464
"2024-11-01T00:00:00.000","November","2024","FY2024-25",924559,269556,648696,1842810
"2024-12-01T00:00:00.000","December","2024","FY2024-25",965847,296827,664441,1927115
"2025-01-01T00:00:00.000","January","2025","FY2024-25",925666,276425,609190,1811281
"2025-02-01T00:00:00.000","February","2025","FY2024-25",885398,249565,580981,1715945
"2025-03-01T00:00:00.000","March","2025","FY2024-25",994892,258144,663781,1916817
"2025-04-01T00:00:00.000","April","2025","FY2024-25",1049338,259349,687704,1996391
"2025-05-01T00:00:00.000","May","2025","FY2024-25",1147831,274672,757433,2179936
"2025-06-01T00:00:00.000","June","2025","FY2024-25",1168472,256484,759928,2184883
"2025-07-01T00:00:00.000","July","2025","FY2025-26",1302547,279426,832915,2414889
"2025-08-01T00:00:00.000","August","2025","FY2025-26",1379410,291842,887816,2559069
"2025-09-01T00:00:00.000","September","2025","FY2025-26",1363436,275414,865314,2504164
